comment,cleaned_comment
"maju gibran prabowo , ngomong realita aja langsung , ketimbang janji"" tak kunjung datang ;)",maju gibran prabowo ngomong realita aja langsung ketimbang janji tak kunjung datang
Jelas 02 winner !,winner
"yang komen pendukung paslon 3 kok dikit nih... tumben gak kaya 2019.
mayoritas pada komen dukung paslon 2.
padahal paslon 3 juga gak jelek2 amat.
tapi mungkin lebih menarik paslon 2 ya... 
atau malah paslon 1 tapi silent aja...",yang komen dukung paslon kok dikit nih tumben gak kaya mayoritas pada komen dukung paslon padahal paslon juga gak jelek amat tapi mungkin lebih tarik paslon atau malah paslon tapi silent aja
"Paslon 1 : Janji kasih uang
Paslon 2 : Hilirisasi & bonus 
                  demografi
Paslon 3 : Pemberantasan 
                  korupsi.
Silahkan pilih yg mana😊",kasih uang bonus demografi korupsi pilih mana
"Klo ingin indonesia lebih maju dan lebih modern... pilih lah no 2 .... karna anak muda lebih berkualitas... tpi klo anda ingin indonesia tetap jadul pilih lah no 3 karna no 3 blum pintar pakai google... dan kalau anda ingin susah berbisnis, pilih lah no 1.. karana no 1 minta trik sama no 02 ... sekian",ingin indonesia lebih maju dan lebih modern pilih lah karna anak muda lebih kualitas tpi klo anda ingin indonesia tetap jadul pilih lah karna blum pintar pakai google dan kalau anda ingin susah bisnis pilih lah karana minta trik sama sekian
Prabowo gibran josss.. 2024❤❤❤,gibran josss
Masyaallah..Debat cawapres ini semakin meyakinkan Saya Bahwa Paslon NO 2 Terbaik 100% Yakin.,cawapres ini makin yakin
Selamat natal dan Tahun Baru oleh Gibran,natal dan oleh
GIBRAN MEWAKILI PEMUDA INDONESIA❤❤❤,gibran wakil pemuda indonesia
Allhamdulillah ayah ibuku skrg dukung prabowo gibran..setelah melihat keberanianya..luar biasaaa,ayah ibu skrg dukung prabowo gibransetelah lihat keberanianyaluar biasaaa
KARBITAN MANA  ADA KUALITAS  KWKKWKWKWK,karbitan mana ada kualitas kwkkwkwkwk
Malam ini panggung anak 90an 😂,ini panggung anak
Jasi hakkul yakin ke no 2.....berkualitas,hakkul yakin kualitas
"Visi Misi : 
- Mas Gibran = Pengembangan Hilirisasi Industri, Pengembangan UMKM
- Pak Mahfud = Pemberantasan Korupsi 
- Cak Imin = Slepet",umkm
Allhamdulillah ayah ibuku skrg dukung prabowo gibran..setelah melihat keberanianya..luar biasaaa,ayah ibu skrg dukung prabowo gibransetelah lihat keberanianyaluar biasaaa
Sulawesi tenggara tetap Prabowo menang❤❤❤,tenggara tetap menang
Astagjfirullooh...innalillahi wainnailahi...rooji'uun..,innalillahi wainnailahiroojiuun
"Gk banget visi misi 01.tujuannya cuma untuk memakai duit negara, 150 t cuma untuk bansos, yg ada membuat masyarakat malas dan berfoya-foya. Emang sih. Klo dengan duit itu dia sepertinya akan mudah menarik suara orang orang lemah. Gk bakal Indonesia maju ditangan pemimpin kya gini. Gk ada pemikiran untuk maju dimasa depan. Masih mending visi misi pak mahfud ingin memberantas korupsi. Klo visi misi 02 InsyaAllah akan berguna untuk generasi rakyat Indonesia.",banget visi misi tuju cuma untuk pakai duit negara cuma untuk bansos ada buat masyarakat malas dan berfoyafoya sih dengan duit itu dia seperti akan mudah tarik suara orang orang lemah bakal maju tang pimpin kya gin ada pikir untuk maju masa depan mending visi misi pak mahfud ingin berantas korupsi visi misi insyaallah akan guna untuk generasi rakyat
Gibran Joss..debat yg paling joos krna tidak mnjtuh kn lawannya.sblum menjawab dia mintak mf kepribadiannya sangat bagus,debat paling joos krna tidak mnjtuh lawannyasblum jawab dia mintak pribadi sangat bagus
Gibren the Best,the
"Nangis terharu liat mas gibran,kagum dan takjub,tak jauh dari pak jokowi😢. Sehat2 mas sekeluarga org baik,sabar,bgtupun dgn pak prabowo. Semoga terpilih nanti ya pak 😇🤲🏻💪🏻💪🏻💪🏻 all in prabowo",haru liat mas gibrankagum dan takjubtak jauh dari pak jokowi sehat mas keluarga org baiksabarbgtupun dgn pak prabowo pilih nanti pak all prabowo
Berapabulan ya Dia menghafalNya..,hafal
"Debat Capres : 
MVP : Anies 
Gold : Prabowo
Silver : Ganjar

Debat Wapres 
MVP : Gibran
Silver : Mahfud
Silver : Muhaimin",mvp mvp
Gw liat muka Mahfud aja muak gw,liat muka aja muak
"Prabowo gibran memang yang paling matang di banding calon2 yg lain,02 yes",gibran memang yang paling matang banding calon lain yes
"Jawaban mas gibran disetiap pertanyaan paling masuk diakal, kalo yng lainya ngambang",mas gibran tiap tanya paling masuk akal kalo yng lai ngambang
Mas Gibran semakin meyakinkan. Bismillah No. 2 menang...,makin yakin menang
Josss no 2...sangat santun n profesional bicaranya sangat jujur.,sangat santun profesional bicara sangat jujur
Imin pas menyampaikan visi misi kok seperti mencontek ya wkwkwk,pas sampai visi misi kok seperti contek wkwkwk
"Dlihat dri debat,,  gibran mnang bnyK. Jlasvdn tpat waktu,,,  NTT no urut 2",dri debat gibran mnang bnyk tpat waktu ntt urut
"Apa bedanya Prabowo di pilpres 2009 & 2014, begitu hebat kemampuan debat Bpk Hatta Rajasa dan Bpk Sandiaga Uno, tp tetap rakyat memilih yang lain",beda pilpres begitu hebat mampu debat dan tetap rakyat pilih yang lain
"MENIT 1:46:00 ADA CWE YG BISIKIN ""UDAH""",menit ada cwe bisikin udah
Semangat perubahan lebih baik 2024 amin ya robbalalamiin,ubah lebih baik amin robbalalamiin
"Orang yg benar berkualitas yg berani menghadiri setiap debat, krn dia akan diuji dgn berbagai pertanyaan dan solfing problemnya. Anies baswedan adalah sosok yg cerdas dan amanah yg mampu membawa bangsa indonesia yg yg maju,  berkeadilan dan  sejahtera utk semuanya..",benar kualitas berani hadir tiap debat krn dia akan uji dgn bagai tanya dan solfing problem baswedan adalah sosok cerdas dan amanah mampu bawa bangsa indonesia maju adil dan sejahtera utk semua
"Engak nyangka aku... Ternyata mas Gibran luar biasa, di bandingkan Paslon nomor 2 dan 3,,..maju mas Gibran",nyangka aku mas luar biasa banding nomor dan maju mas
😂😂 memang capres cawapres no urut 1 itu suka banget membual yah .. kalo ngomong kaya ngebohongi anak TK ..,memang capres cawapres urut itu suka banget bual yah kalo ngomong kaya ngebohongi anak
Makanya jangan anggap remeh orang,jangan anggap remeh orang
"anis for indonesia, no debat,,, indonesia btuh transform kekuasaan dan stabilitas ekonomi dan social",anis for indonesia debat indonesia btuh transform kuasa dan stabilitas ekonomi dan social
"Tidak ada keraguan, saat nya yang muda untuk terbang. (2)",ada ragu saat nya yang muda untuk terbang
"Dandanan nya ganjar over acting., mungkin tanda2 mau naik.....",nya ganjar over acting mungkin tanda mau naik
"Napa pada salah paslon semua ya
1. Salah pilih cawapres, tpi menang di wilayah
2. Salah president karena historynya dan akan ada dinasty politik. 
3. Salah partai.",pada salah paslon semua pilih cawapres tpi menang wilayah president karena historynya dan akan ada dinasty politik partai
"Semua pakar politik dari partai penusung Ganjar Mahfud ataupun pasangan Anis dg Gus Imin menganggap di debat cawapres Mas Gibran tidak akan mampu menjawab pertanyaan Gus Imin dan Prof Mahfud dan bahkan ada yg mengatakan Gibran adalah anak kemaren sore,ada yg mengatakan anak masi ingusan.ternyata orang yg dianggap seperti ini, Mas Gibran mampu menyaingi beliau 2 cak Imin dan Prof Mahfud yg dibuktikan saat debat cawapres. Ini suatu peringatan pada siapapun agar tidak selalu meremehkan orang lain(Mas Gibran)",pakar politik dari partai penusung atau pasang anggap debat cawapres tidak akan mampu jawab tanya dan dan bahkan ada kata adalah anak kemaren soreada kata anak mas ingusanternyata orang anggap seperti ini mampu saing beliau cak dan bukti saat debat cawapres suatu ingat pada siapa agar tidak selalu remeh orang lain
salut maju teros mas gibran rakabuming raka ❤❤❤kami sebagai anak muda bangga dengan mas gibran pak prabowo and mas gibran pemimpin kita selanjutnya.,salut maju ros mas gibran rakabuming raka kami bagai anak muda bangga dengan mas gibran pak prabowo and mas gibran pimpin kita lanjut
2 skip dulu dan masih bingung antara 1 dan 3. Pengen punya  pemimpin yg tenang dan cerdas.... 😂,skip dulu dan masih bingung antara dan punya pimpin tenang dan cerdas
@pakmahpud kalau tau ada korupsi di tanah laut dan udara kenapa gak di laporkan ke KPK😢,pakmahpud kalau tau ada korupsi tanah laut dan udara kenapa gak lapor kpk
"Salfok sama translatornya, keren banget gesturnya",sama translatornya keren banget gesturnya
Semua calon tentunya ingin Indonesia LBH baik sesuai harapan rakyat cuma klo debat dpt ini GK terlalu berpengaruh KPD dukungan masyarakat,calon tentu ingin lbh baik sesuai harap rakyat cuma klo debat dpt ini terlalu pengaruh kpd dukung masyarakat
Saya Pa Ganjar 👍👍👍👍dan pa Mahfud,dan
Mas gibran nih keren mas gibran logic sekali pemikiran anda❤,gibran nih keren mas gibran logic sekali pikir anda
"Bagaimana ini cak imin!!
Dulu mendukung pmbngunan IKN & ikut potong tumpeng juga, tpi skrng kok belok kiri hanya krna beda selogan. 
Jngn sprti bunglon cak, yg warnanya bisa berubah2 berdasarkan warna pohon / daun yg di hinggapi. Calon pemimpin itu hrs punya prinsip sendiri cak.",ini cak imin dukung pmbngunan ikn ikut potong tumpeng juga tpi skrng kok belok kiri hanya krna beda log sprti bunglon cak warna bisa ubah dasar warna pohon daun hinggap pimpin itu hrs punya prinsip sendiri cak
Mas gibran❤,gibran
"Inilah yang terjadi jika meremehkan anak muda.
1 dan 3 te selepet 😂😂😂✌️✌️✌️",yang jadi jika remeh anak muda dan lepet
"Bagaimana ini cak imin!!
Dulu mendukung pmbngunan IKN & ikut potong tumpeng juga, tpi skrng kok belok kiri hanya krna beda selogan. 
Jngn sprti bunglon cak, yg warnanya bisa berubah2 berdasarkan warna pohon / daun yg di hinggapi. Calon pemimpin itu hrs punya prinsip sendiri cak.",ini cak imin dukung pmbngunan ikn ikut potong tumpeng juga tpi skrng kok belok kiri hanya krna beda log sprti bunglon cak warna bisa ubah dasar warna pohon daun hinggap pimpin itu hrs punya prinsip sendiri cak
calon no 2 yg sering di bully di situlah saya akan pilih,calon sering bully situ saya akan pilih
amin,amin
"Percaya dirinya para cawapres  sudah bagus,tapi masalah debat ,substansinya mana?",diri para cawapres sudah bagustapi masalah debat substansi mana
Kenapa nomor 2 pakai mik. 😅😅😅😂😂,nomor pakai mik
Prabowo - Gibran satu putaran 👌,satu putar
"Yg cerdas, pemikiran cemerlang pasti pilih prabowo
Pak prabowo itu menyiapkan generasi anak muda untuk kedepan ny
Visi/misi juga tepat",cerdas pikir cemerlang pasti pilih prabowo prabowo itu siap generasi anak muda untuk depan misi juga tepat
"Cawapres no. 3 , sudah punya data para koruptor, kenapa bapak tidak menyatakan siap untuk mempidana para koruptor demi kemajuan ekonomi negara 😢😢ditunggu episode berikutnya ""Data berbicara koruptor dipidana"".",sudah punya data para koruptor kenapa bapak tidak nyata siap untuk pidana para koruptor demi maju ekonomi negara tunggu episode ikut bicara koruptor pidana
Bismillah pasti saya akan slepet,pasti saya akan slepet
Jadi Inget Reklamasi...ditolak tapi dilanjutkan😅,tolak tapi lanjut
"harusnya si gibran juga sadar, dulu dulu mendukung skr mengkhianati, itulah kl orang gila jabatan, lupa oacang pada kulitnya",harus gibran juga sadar dulu dulu dukung skr khianat itu orang gila jabat lupa oacang pada kulit
Kaya nya Gibran lebih menguasai debat ini,nya lebih kuasa debat ini
"Kaya Liat pak Jokowi , cm beda usia aja",pak beda usia aja
Di forum ini kelihatan Cawapres Gibran lebih menguasai dan tau tentang tantangan membangun Indonesia Emas dg generasi emas👍🏻😊,forum ini lihat lebih kuasa dan tau tentang tantang bangun generasi emas
"Ada namanya diam itu emas,, conthnya mas gibran",nama diam itu emas conthnya mas gibran
"Mao bikin kota se level jakarta dlm waktu 5 taon haha mang bs ,,minta bantu doraemon sono😅😅 mimpi tuh org",bikin kota level jakarta dlm waktu taon haha mang minta bantu doraemon sono mimpi tuh org
"Apa kalian gk takut kena getahnya?  Wowo naik pajak dinaikkan karena utang luar negeri indo menyentuh angka 9000 triliun. Bisa2 perlahan lahan, diusir pribumi sendiri, nanti klo sudh jadi menyesal kalian,",kalian takut kena getah naik pajak naik karena utang luar negeri indo sentuh angka triliun bisa perlahan lahan usir pribumi sendiri nanti klo sudh jadi sesal kalian
"No 1 ngaur,  ngk konsisten, no 1 penipu ,penghiaat kawan aja d hianati apa lg negara , silahkan nilai sndiri no 1 ni kyak gimana😅",ngaur ngk konsisten tipu penghiaat kawan aja hianati apa negara silah nilai sndiri kyak gimana
"Bagaimana ini cak imin!!
Dulu mendukung pmbngunan IKN & ikut potong tumpeng juga, tpi skrng kok belok kiri hanya krna beda selogan. 
Jngn sprti bunglon cak, yg warnanya bisa berubah2 berdasarkan warna pohon / daun yg di hinggapi. Calon pemimpin itu hrs punya prinsip sendiri cak.",ini cak imin dukung pmbngunan ikn ikut potong tumpeng juga tpi skrng kok belok kiri hanya krna beda log sprti bunglon cak warna bisa ubah dasar warna pohon daun hinggap pimpin itu hrs punya prinsip sendiri cak
Prabowo Gibran yakin optimis 🎉,yakin optimis
Mas gibran yang terbaik.❤,gibran yang baik
Sya suda yakin klw bpak Prabowo mas Gibran bakalan menang ttp semangat mas gibran dan bapak Prabowo,suda yakin klw bpak mas bakal menang ttp semangat mas gibran dan bapak
Saya dukung 01 dan 02 yg penting jangan si banteng aja yg menang,dukung dan penting jangan banteng aja menang
Saya kira bahasa Slepet kurang populis untuk bangsa Indonesia yang penduduknya bhineka tunggal ika,kira bahasa kurang populis untuk bangsa yang duduk bhineka tunggal ika
"Debat nya keren.,, lebih berbobot dibanding capres...",nya keren lebih bobot banding capres
mana yang bilang mas gibran itu gagu 😂,mana yang bilang mas gibran itu gagu
Gibran keren,keren
"Bagaimana ini cak imin!!
Dulu mendukung pmbngunan IKN & ikut potong tumpeng juga, tpi skrng kok belok kiri hanya krna beda selogan. 
Jngn sprti bunglon cak, yg warnanya bisa berubah2 berdasarkan warna pohon / daun yg di hinggapi. Calon pemimpin itu hrs punya prinsip sendiri cak.",ini cak imin dukung pmbngunan ikn ikut potong tumpeng juga tpi skrng kok belok kiri hanya krna beda log sprti bunglon cak warna bisa ubah dasar warna pohon daun hinggap pimpin itu hrs punya prinsip sendiri cak
GILA BENAR TERNYATA GIBRAN RAKABUMI RAKA SANGAT MENGUASAI DEBAT INI DENGAN BAIK .... KNP SELAMA INI GIBRAN SEOLAH OLAH GA BISA APA2 TAPI TERNYATA SANGAT HEBAT TANPA TEORI DAN RETORIKA. MANTAP MAS GIBRAN .....😄😄😄😄,gila benar nyata gibran rakabumi raka sangat kuasa debat ini dengan baik knp lama ini gibran olah olah bisa apa tapi nyata sangat hebat tanpa teori dan retorika mantap mas gibran
"Bagus👍👍👍
Tapi apakah berani dan tegas melawan korupsi,larangan PinJol,dll
Karena setelah OrBa runtuh di gantikan reformasi.... Yg tegas rakyat, tapi pemimpin nya MemBle....kayak kerupuk ke siram air.

Indonesi butuh pemimpin yg tegas pada aturan, tegas melawan oknum sesuai peraturan perundang-undangan....tanpa tebang pilih atau kekuatan uang, kekuasaan, dll yg menghambat undang2.",apakah berani dan tegas lawan korupsilarangan pinjoldll telah orba runtuh ganti reformasi tegas rakyat tapi pimpin nya memblekayak kerupuk siram air butuh pimpin tegas pada atur tegas lawan oknum sesuai atur perundangundangantanpa tebang pilih atau kuat uang kuasa dll hambat undang
Cak imin joss,imin joss
Paling banyak micnya masnya yah. Lainnya cm 1. Beliao 3😌🙂,banyak micnya mas yah
Saya gak yakin Gibran ngerti apa yang dia omongin...,gak yakin ngerti apa yang dia omongin
"pantes para lawan pada takut sama blimbing sayur, baru tahu saya, rupanya ternyata Mas Gibran itu pintar ya.",pantes para lawan pada takut sama blimbing sayur baru tahu saya rupa nyata itu pintar
Itu katamu pak imin semua beres. Tapi di lapangan beda. Makanya banyakin di lapangan😂😂😂😂huuu,kata pak imin semua beres lapang beda banyakin lapanganhuuu
Cawapres yg dua miknya 1 kalaupun ada 2 yg satu kurang maksimal tapi kalau cawapres yg 1 miknya ada 4 😂😂😂,dua mik kalaupun ada satu kurang maksimal tapi kalau cawapres mik ada
"Suka dengan pakaian pak ganjar, pakaian adat kupang NTT",dengan pakai pak ganjar pakai adat kupang ntt
Senior bukan berarti yg hebat paman... Dan aku bukan selamanya jd anak kecil paman.. sampai sini pahammm😂😂,bukan arti hebat paman aku bukan lama anak kecil paman sampai sini pahammm
Semoga calon nomor 1 menang Aamiiin,calon nomor menang
Waduh visi misi cawapres no.2 kelihatannya tidak kena sasaran cuma program kerja yg disampaikan. Tidak apa apa.,visi misi cawapres lihat tidak kena sasar cuma program kerja sampai apa apa
"Guru gemoy...
Sebutan pak Prabowo adalah prajurit 08.. tahun 2024 jika di jumlah 2+0+2+4=8. .sedangkan 8 ÷2÷2= 2 eh kebetulan juga dapat no. 2... no di lambangkan  salam 2 jari artinya Victory...atau menang .... semogaa....❤❤",gemoy pak adalah prajurit tahun jika jumlah sedang betul juga dapat lambang salam jari arti atau menang semogaa
Pake EARPHONE biar gacor samsul 😅,earphone biar gacor samsul
Jangan sampai nanti bela belain rakyat waktu kampanye setelah jadi ganti lagi wkwkwk mencla mencle,sampai nanti bela bain rakyat waktu kampanye telah jadi ganti lagi wkwkwk mencla mencle
"Yg satu  anak pondok.
Yg satu menko polkam.
Yg satu gak jelas.",satu anak pondok satu menko polkam satu gak jelas
Slepet pokoknya,pokok
"Apalagi program BLT lbh mudah untuk d korupsi.kecuali BLT berupa uang yg lngsng d transfer k rekening""rakyat yg berhak mendapatkan ny.",program blt lbh mudah untuk korupsikecuali blt upa uang lngsng transfer rekeningrakyat hak dapat
Cak imin pertanyaan nya apa jawaban nya.. Selepet Selepet.. 😂😂😂,imin tanya nya apa jawab nya
prabowo gibran🔥🔥🔥,prabowo gibran
"Bagus gitu gibran, ngapa banyak hater wkwk",gitu gibran ngapa banyak hater wkwk
Gibran ank muda yg hbt inilah pemimpin bgsa masa dpn. 02 yes ✌️✌️,ank muda hbt ini pimpin bgsa masa dpn yes
Aku dukung putra  pa Jokowi bagus gagasan anak muda  serdas  tida menjatukan orang lain....,dukung putra bagus gagas anak muda serdas tida menjatukan orang lain
"*GIBRAN NGIBUL TENTANG INVESTOR IKN* ... Agung Sedayu Group (Sugianto Kusuma), Salim Group (Anthony Salim), Sinarmas Group (Franky Widjaja), Pulau Intan (Pui Sudarto), Grup Djarum (Budi Hartono), Wings Group (Wiliam Katuari), Adaro Group (TP Rahmat/Boy Tohir), Barito Pacific (Prajogo Pangestu), Mulia Group (Eka Tjandranegara), dan Grup Astra (Soeryadjaya), baru tahap pembahasan saja, dibilang Otoritas Ibu Kota Nusantara (OIKN), katanya akan ground breaking tanggal 21 September 2023, belum ada kejelasan lebih lanjut. Memang, kata Jokowi tengah dibangun
hotel berbintang 4, konon akan selesai bulan Agustus 2024. Bernama Hotel Nusantara, merupakan hasil kerjasama antara Vasanta Group dengan PT Bina Karya (Persero) sebagai Badan Usaha Otorita (BUO) di IKN Nusantara. Lagi-lagi, pasti dibangun dengan duit APBN, mengingat yang menangani adalah BUO. Meskipun katanya tengah dibangun, belum kelihatan konstruksi gedung hotelnya, baru penampakan gedung yang jadi kantor proyek hotel tersebut, yang keadaannya masih lebih megah dari gedung kantor kelurahan di kampung saya.",gibran ngibul tentang investor ikn dan baru tahap bahas saja bilang oikn kata akan ground breaking tanggal belum ada jelas lebih lanjut kata tengah bangun hotel bintang konon akan selesai bulan rupa hasil kerjasama antara dengan bagai buo ikn lagi pasti bangun dengan duit apbn ingat yang tangan adalah buo kata tengah bangun belum lihat konstruksi gedung hotel baru tampak gedung yang jadi kantor proyek hotel sebut yang ada masih lebih megah dari gedung kantor lurah kampung saya
Mas gibran juaranya 🎉🎉🎉🎉🎉🎉,gibran juara
Prabowo Gibran mana suaranya,mana suara
Ketar ketir gak tuhh pendukung no 2😂😂😂,tir gak tuhh dukung
all in prabowo gibran🤜🏻🤛🏻,all prabowo gibran
👍pak prabowo gibran maju...terus,pak prabowo gibran majuterus
"Gibran dlm berdebat banyak yg gak nyambung dg temanya, dan juga di mungkinkn hasil contekan dari ayahnya. d",dlm debat banyak gak nyambung tema dan juga mungkinkn hasil contek dari ayah
"Nilai debat
Amin :2
Gibran:9
Mahfud: 6",debat
"Hebat mas gibran,,bisa membungkap org2 yg suka nyiyirin mas gibran.. anak muda hebat ya spr mas gibran,,patut dicontoh",mas gibranbisa membungkap org suka nyiyirin mas gibran anak muda hebat spr mas gibranpatut contoh
Saya ngakak ketika Muhaimin di skak gibran tentan IKN😂😂😂 jadi kelihatan kalau dia manusia munafik...,ngakak ketika skak gibran tentan ikn jadi lihat kalau dia manusia munafik
Prabowo  gibran  pilihan  presdent for 2024,gibran pilih presdent for
Tetap amiin,amiin
Masih niron gning pa imin mah,niron gning imin mah
Salam amin salut pak gus muhaimin...,amin salut pak gus muhaimin
"Asli debat yg paling TIDAK ENAK DI LIHAT yg pernah ada di Indonesia,salam INDONESIA PINTAR",debat paling tidak enak lihat pernah ada salam indonesia pintar
No 3  dan 1 terallu banyak retorika. Gibran jos detail jelas gampang di mengerti,dan terallu banyak retorika jos detail jelas gampang erti
Cak imin baca cerita itu gesss,imin baca cerita itu gesss
Saya ngakak ketika Muhaimin di skak gibran tentan IKN😂😂😂 jadi kelihatan kalau dia manusia munafik...,ngakak ketika skak gibran tentan ikn jadi lihat kalau dia manusia munafik
"Siapa yang merasa performance prof mahfud seperti down dibawah ekspektasi kita? 
Apa karena diawali dengan orasi Pak Gibran yang benar2 terukur dan terarah jadi lawannya pada gogri😂",yang rasa performance prof mahfud seperti down bawah ekspektasi kita karena awal dengan orasi yang benar ukur dan arah jadi lawan pada gogri
Suara dari sumatera bersatu untuk Prabowo gibran,dari sumatera satu untuk gibran
"Gibran jelas bgt pemaparan prokernya terobosan IKN digitalisasi hilirisasi melalui ahli2 dibidangnya masing2.
pak mafud jadi prokernya apa pak kok cmn jabarin permasalahan klasik yg tanpa dijelaskan hal itu kita smua jg udh tau so proker utk solusinya apa UU khusus for koruptor kah tlg diperjelas pak?
cak imin prokernya jelas jika terpilih yaitu slepet sana sini, maka berhentilah bercita2 jadi investor, pengusaha dan orang kaya krn pengusaha2 dan orang2 kaya hrs siap kena slepet dipajakin besar2an ",jelas bgt papar prokernya terobos ikn digitalisasi hilir lalu ahli bidang masing pak mafud jadi prokernya apa pak kok cmn jabarin masalah klasik tanpa jelas hal itu kita smua udh tau proker utk solusi apa khusus for koruptor kah tlg jelas pak cak imin prokernya jelas jika pilih yaitu slepet sana sini maka henti cita jadi investor usaha dan orang kaya krn usaha dan orang kaya hrs siap kena slepet dipajakin besar
"Cuma gibran yg menghormati agama lain, dengan mengucap salam seluruh agama",gibran hormat agama lain dengan ucap salam seluruh agama
"Jgn anggap reme,,  dgn mas gibran,  justru skrng kita lht,  dya yg sngt menonjol,  dan cerdas cra mnjwab,  cerdas untk mmbrikn prtanyaan",anggap reme dgn mas gibran justru skrng kita lht dya sngt tonjol dan cerdas cra mnjwab cerdas untk mmbrikn prtanyaan
Mana nihh masih adakah pendukung no 2😂😂,nihh masih ada dukung
"VISI MISI  GIBRAN ....TEXT BOOK ......MUNGKIN BUKU CATATAN NYA ....PENUH CATATAN , SAMBIL NONTON GANJAR DALAM PEMAPARAN  VISI MISI GANJAR , DI KAMPUS KAMPUS DAN UNDANGAN  LEMBAGA DAN CENDIKIAWAN  DAN KAMPANYE DI BERBAGAI DAERAH .  SAMA PERSIS ....????
HALLO .....TAPI BAGAIMANA MENAIKAN ATAU MENAMBAH TAX RATIO MENJADI 28 % BELUM TERJAWAB .....KARENA CUMA ANGAN ANGAN .....???  
 ( PERTANYAAN MAKHFUD BUKAN BEDA TAX RATIO DAN TAX RATE )

 MUNGKIN MEMPERBANYAK PUNGUTAN PAJAK DARI  PRODUSEN  """" ASAM SULFAT """" ....???

 OLEH KARENA ITU ADA MOMENTUM SI SAMSUL BERTERIMAKASIH ATAS BANTUAN """"GANJAR""""
JUJUR JUGA YA.....!!!",visi misi gibran text book mungkin buku catat nya penuh catat sambil nonton ganjar dalam papar visi misi ganjar kampus kampus dan undang lembaga dan cendikiawan dan kampanye bagai daerah sama persis hallo tapi bagaimana naik atau tambah tax ratio jadi belum jawab karena cuma angan angan tanya makhfud bukan beda tax ratio dan tax rate mungkin banyak pungut pajak dari produsen asam sulfat oleh karena itu ada momentum samsul berterimakasih atas bantu ganjar jujur juga
Terimakasih sudah menyinggung tentang ekonomi syariah dan memprioritaskannya! Ini yg ditunggu-tunggu.,sudah singgung tentang ekonomi syariah dan prioritas ditunggutunggu
"Mantap sekali debat cawapres, seolah olah terobsesi dengan apa yang terjadi selama ini........................",sekali debat cawapres olah olah obsesi dengan apa yang jadi lama ini
Gus imin di buat kicep,imin buat kicep
Prabowo -Gibran menuju RI 1 dan RI 2 .. All in kan gaesss,tuju dan kan gaesss
"Walaupun muda , kata org blum ada pengalaman. Tpi ini mas Gibran membuktikan nya",muda kata org blum ada alam ini mas bukti nya
Hajar bro maju terus Tuhan memberkatimu.,bro maju terus berkat
Semangatt Pak Prabowo dan Mas Gibran,dan
Cie dislepet gibran,dislepet gibran
Maju terus paslon no2 coblosss PRABOWO & GIBRAN❤️💪🏽👍,terus paslon coblosss prabowo gibran
mantap gibranpenyampaian mu tpt mg THN sllu bersama kt,mantap gibranpenyampaian tpt thn sllu sama
"Apa jaminan omongan mu Gibran? Bapakmu dlu ngmg gitu malah hutang meroket, dari awal juga udah nunjukin borok kok, bisa nyalon krn power keluarga/kolega yg udah tersebar di tempat strategis, trus apa jaminan mu maju nyalon ini utk kepentingan rakyat bukan utk kekuasaan/kekayaan semata?",jamin omong dlu ngmg gitu malah hutang roket dari awal juga udah nunjukin borok kok bisa nyalon krn power keluargakolega udah sebar tempat strategis trus apa jamin maju nyalon ini utk penting rakyat bukan utk kekuasaankekayaan semata
"Tolong ditelusuri di durasi antara 1:45:57 - 1:46:02 terdengar suara yg mengatakan ""udah"" Seperti memberi kode bahwa batas waktu berbicara hampir habis...",telusur durasi antara dengar suara kata udah beri kode bahwa batas waktu bicara hampir habis
"Ini suaranya mas Gibran, kalo di denger sambil nutup mata, suaranya Pak Jokowi bgt😂",suara mas kalo denger sambil nutup mata suara bgt
Closingnya keren mas gibran😘🥰,keren mas gibran
"WAKANDA NO MORE
KONOHA FOREVER.",wakanda more konoha forever
Mafud MD mankampuji,mankampuji
Ayo mas Gibran hempasan Amin sama MD 😂😂😂,mas hempas sama
"Lah kok jadi gibran paling terlihat visi misinya, padahal aku dah nunggu counter attack dari pak mahpud...!! 
Kalo cak imin yg paling parah, kayak sedang curhat., sebenarnya dia ngerti ga sih ini lagi acara apa.. 😭😭😭..?!",kok jadi gibran paling lihat visi misi padahal aku dah nunggu counter attack dari pak mahpud cak imin paling parah kayak sedang curhat benar dia ngerti sih ini lagi acara apa
"Saya memilih anak muda, semngat untuk mas gibran",pilih anak muda semngat untuk mas gibran
"Keren cawapresku,,anak mewaris i ketegasan bpknya",cawapreskuanak waris tegas bpknya
Percayakan pemimpin pada generasi melenial anti korupsi 02,pimpin pada generasi melenial anti korupsi
Cak imin ko liat bawah trus ya?,imin liat bawah trus
Luar biasa ms gibran...,biasa gibran
"Ya allah, apa bagusnya debat menanyakan singkatan atau akronim, itu bukan perdebatan hebat itu pendebat yang nir etika. Mau tetap memilih anak yang berdebat ga beretika?",allah apa bagus debat tanya singkat atau akronim itu bukan debat hebat itu debat yang nir etika tetap pilih anak yang debat etika
"Stlh mlihat debat cawapres , gibran lah yg pling bgs , yg pling berbobot jawaban"" Nya , mantap plih prabowo gibran 👍",mlihat debat cawapres gibran lah pling bgs pling bobot jawab mantap plih prabowo gibran
Gibran mau naekin PJK,mau naekin pjk
